word,category,frequency,length
respective,adjective,19,10
johnson,noun,34,7
admission,noun,33,9
headed,verb,59,6
marines,noun,11,7
navy,noun,37,4
guard,noun,48,5
reserve,noun,37,7
puerto,noun,24,6
rico,noun,21,4
virgin,noun,35,6
islands,noun,30,7
guam,noun,12,4
trust,noun,52,5
territories,noun,9,11
zone,noun,11,4
governmental,adjective,23,12
developments,noun,44,12
mississippi,noun,39,11
observing,verb,13,9
scene,noun,106,5
script,noun,11,6
gazing,verb,8,6
operates,verb,15,8
ross,noun,11,4
barnett,noun,11,7
surrounded,verb,21,10
keeps,verb,21,5
foes,noun,6,4
guessing,verb,8,8
friends,noun,161,7
predict,verb,8,7
settle,verb,23,6
iron,verb,43,4
rough,adjective,41,5
edges,noun,37,5
headache,noun,5,8
steady,adjective,38,6
stream,noun,51,6
commitments,noun,15,11
quest,noun,16,5
decide,verb,40,6
throw,verb,42,5
nobody,noun,74,6
enjoy,verb,44,5
strange,adjective,84,7
honeymoon,noun,11,9
decade,noun,46,6
odds,noun,14,4
likely,adjective,126,6
restless,adjective,13,8
sensitive,adjective,59,9
cutting,verb,66,7
seat,noun,54,4
eyes,noun,401,4
focused,verb,12,7
delta,noun,7,5
congressman,noun,21,11
smith,noun,54,5
crossroads,noun,12,10
split,verb,30,5
divided,verb,55,7
camps,noun,18,5
wreck,noun,8,5
clouded,verb,6,7
ranks,noun,20,5
patronage,noun,10,9
flow,verb,68,4
solidarity,noun,13,10
picture,noun,162,7
remained,verb,106,8
loyal,adjective,18,5
probable,adjective,25,8
stripped,verb,17,8
flows,verb,5,5
baton,noun,10,5
rouge,noun,6,5
theme,noun,55,5
harmony,noun,33,7
severe,adjective,39,6
stresses,noun,19,8
segregation,noun,10,11
troublesome,adjective,7,11
finances,noun,6,8
transition,noun,32,10
revenues,noun,26,8
dedicated,verb,23,9
dedication,noun,21,10
suspect,verb,30,7
related,verb,102,7
shortage,noun,16,8
cash,noun,36,4
weary,adjective,17,5
curious,adjective,46,7
contributing,verb,15,12
defeat,noun,31,6
effectiveness,noun,32,13
clearing,verb,16,8
play,verb,200,4
determining,verb,33,11
hands,noun,289,5
integration,noun,48,11
terminate,verb,12,9
toss,verb,9,4
towel,noun,6,5
frustrated,verb,10,10
losing,verb,28,6
token,adjective,10,5
sort,noun,162,4
acknowledge,verb,12,11
convey,verb,13,6
notion,noun,40,6
though,function,408,6
continued,verb,133,9
extra,adjective,48,5
unlikely,adjective,21,8
conclusion,noun,59,10
purposes,noun,90,8
perfect,adjective,58,7
acute,adjective,13,5
interesting,adjective,82,11
dilemma,noun,25,7
forbids,verb,5,7
introduction,noun,39,12
expenses,noun,47,8
constant,adjective,71,8
prospect,noun,25,8
spending,verb,41,8
unpleasant,adjective,15,10
avoid,verb,58,5
alternatives,noun,17,12
blocked,verb,12,7
trim,verb,20,4
arouse,verb,5,6
squeezed,verb,18,8
exert,verb,11,5
confronting,verb,10,11
tried,verb,170,5
revive,verb,8,6
allegations,noun,5,11
followers,noun,17,9
affiliations,noun,5,12
depending,function,32,9
combat,verb,26,6
alexander,noun,45,9
hemphill,noun,8,8
bids,noun,6,4
elevated,verb,11,8
loss,noun,86,4
ranged,verb,18,6
steel,noun,45,5
erection,noun,5,8
contracted,verb,8,10
less,adjective,232,4
legitimate,adjective,16,10
competing,verb,15,9
covering,verb,32,8
contract,noun,60,8
philadelphia,noun,50,12
investigating,verb,8,13
played,verb,104,6
reviewing,verb,10,9
signature,noun,6,9
harold,noun,32,6
architecture,noun,11,12
engineering,noun,46,11
appeared,verb,135,8
fired,verb,44,5
charges,noun,45,7
accepting,verb,21,9
contractor,noun,6,10
managing,verb,8,8
donald,noun,20,6
cooperate,verb,11,9
sharp,adjective,72,5
disagreement,noun,11,12
sue,verb,18,3
recovery,noun,29,8
berger,noun,15,6
morning,noun,211,7
bankrupt,adjective,5,8
consolidated,verb,6,12
industries,noun,36,10
reorganization,noun,27,14
bankruptcy,noun,8,10
directors,noun,19,9
draw,verb,56,4
travelers,noun,8,9
continental,adjective,19,11
preliminary,adjective,24,11
filing,verb,19,6
claim,noun,98,5
involve,verb,31,7
expansion,noun,47,9
joints,noun,12,6
repaired,verb,11,8
wide,adjective,117,4
repairs,noun,8,7
sons,noun,29,4
cambridge,noun,15,9
hooked,verb,7,6
douglas,noun,23,7
pratt,noun,10,5
transit,noun,16,7
samuel,noun,34,6
objected,verb,13,8
rates,noun,102,5
hotels,noun,20,6
percent,noun,53,7
objection,noun,18,9
rooms,noun,55,5
testimony,noun,47,9
raise,verb,52,5
houses,noun,83,6
dwellings,noun,7,9
renewal,noun,8,7
single,adjective,172,6
account,verb,117,7
apartment,noun,81,9
leonard,noun,10,7
builders,noun,27,8
behalf,noun,21,6
dog,noun,75,3
drew,verb,68,4
virginia,noun,75,8
dogs,noun,70,4
males,noun,19,5
females,noun,17,7
flat,adjective,62,4
replies,verb,10,7
owners,noun,35,6
animal,noun,68,6
spends,verb,8,6
collects,verb,5,8
bites,noun,8,5
backs,verb,15,5
schedule,noun,36,8
eugene,noun,25,6
julian,noun,8,6
barnard,noun,5,7
montgomery,noun,16,10
horace,noun,5,6
widow,noun,26,5
killed,verb,75,6
pleaded,verb,7,7
warren,noun,51,6
probation,noun,7,9
drive,verb,105,5
driving,verb,53,7
sentence,noun,34,8
pronounced,verb,18,10
victim,noun,27,6
accident,noun,33,8
lee,noun,34,3
agreements,noun,15,10
redevelopment,noun,5,13
eastwick,noun,5,8
hazards,noun,10,7
acre,noun,10,4
tract,noun,17,5
bounded,verb,9,7
parks,noun,20,5
designated,verb,17,10
feature,verb,37,7
row,noun,35,3
garden,noun,60,6
apartments,noun,17,10
churches,noun,96,8
clusters,noun,5,8
corporation,noun,90,11
formed,verb,76,6
reynolds,noun,5,8
metal,noun,61,5
builder,noun,29,7
second,adjective,360,6
developing,verb,52,10
greece,noun,16,6
sectors,noun,10,7
barred,verb,8,6
entire,adjective,149,6
length,noun,116,6
ran,verb,134,3
pedestrian,noun,6,10
bridges,noun,26,7
kansas,noun,31,6
upi,noun,5,3
fighters,noun,16,8
injured,verb,20,7
bomb,noun,36,4
tore,verb,15,4
figure,noun,209,6
representation,noun,18,14
teamsters,noun,8,9
suffered,verb,42,8
multiple,adjective,36,8
ankles,noun,7,6
baptist,noun,17,7
memorial,adjective,23,8
ignition,noun,5,8
sets,verb,62,4
blast,noun,15,5
driveway,noun,14,8
flash,noun,21,5
lying,verb,36,5
younger,adjective,44,7
boy,noun,242,3
knocked,verb,31,7
bed,noun,127,3
wall,noun,160,4
hood,noun,7,4
flies,verb,12,5
flying,verb,43,6
roof,noun,59,4
front,noun,221,5
wheel,noun,56,5
landed,verb,15,6
laboratory,noun,40,10
explosive,adjective,17,9
device,noun,55,6
containing,verb,45,10
target,noun,45,6
threatening,verb,26,11
torn,verb,25,4
outspoken,adjective,6,9
critic,noun,25,6
began,verb,312,5
organizing,verb,8,10
firemen,noun,5,7
reward,noun,15,6
bombing,noun,5,7
guards,noun,19,6
mining,noun,12,6
active,adjective,88,6
turkey,noun,9,6
ap,noun,14,2
turkish,adjective,12,7
bowed,verb,7,5
emergency,noun,39,9
bargaining,noun,18,10
threat,noun,42,6
overthrow,noun,5,9
deadline,noun,6,8
join,verb,65,4
threatened,verb,29,10
agreeing,verb,7,8
demanded,verb,42,8
satisfied,verb,36,9
stated,verb,85,6
solution,noun,59,8
created,verb,81,7
vincent,noun,19,7
temporary,adjective,32,9
practicing,verb,15,10
portland,noun,24,8
graduate,noun,30,8
father,noun,183,6
helping,verb,44,7
structure,noun,91,9
aiding,verb,7,6
multnomah,noun,6,9
paths,noun,14,5
identical,adjective,31,9
congenial,adjective,7,9
ours,function,27,4
adding,verb,22,6
develop,verb,89,7
society,noun,237,7
loyalty,noun,22,7
patience,noun,22,8
insuring,verb,6,8
germany,noun,81,7
rebel,verb,18,5
century,noun,207,7
doors,noun,36,5
gives,verb,114,5
peoples,noun,36,7
compare,verb,28,7
reason,noun,241,6
fear,verb,127,4
absorb,verb,13,6
goods,noun,57,5
products,noun,108,8
total,noun,211,5
towards,function,64,7
advice,noun,52,6
coordination,noun,15,12
plea,noun,11,4
ralph,noun,22,5
thought,verb,517,7
cooperating,verb,7,11
barnes,noun,9,6
waiting,verb,110,7
sure,adjective,226,4
whatever,function,111,8
fruitful,adjective,7,8
los,noun,51,3
angeles,noun,47,7
send,verb,74,4
disaster,noun,26,8
everybody,noun,72,9
voice,noun,226,5
her,function,3036,3
please,verb,62,6
faith,noun,111,5
somebody,noun,58,8
everyone,noun,94,8
rush,verb,20,4
evacuation,noun,5,10
lots,noun,41,4
realistic,adjective,34,9
jack,noun,92,4
instructed,verb,16,10
salem,noun,19,5
statewide,adjective,11,9
mothers,noun,25,7
greeting,noun,5,8
mark,noun,83,4
reception,noun,38,9
noon,noun,25,4
empire,noun,22,6
speak,verb,110,5
circuit,noun,23,7
game,noun,123,4
beaverton,noun,6,9
examined,verb,28,8
specifications,noun,9,14
workshop,noun,24,8
temple,noun,38,6
dinner,noun,91,6
honoring,verb,8,8
organized,verb,56,9
roosevelt,noun,28,9
whipple,noun,7,7
oregon,noun,11,6
speakers,noun,14,8
al,noun,16,2
norman,noun,15,6
terry,noun,7,5
oak,noun,15,3
grove,noun,14,5
lodge,noun,19,5
salter,noun,9,6
seeks,verb,10,5
barbara,noun,10,7
hugh,noun,8,4
theodore,noun,14,8
stronger,adjective,37,8
beliefs,noun,23,7
grasp,noun,17,5
delegates,noun,16,9
assemblies,noun,11,10
god,noun,316,3
strengthen,verb,16,10
modern,adjective,198,6
trends,noun,21,6
bible,noun,59,5
belief,noun,64,6
dependence,noun,12,10
bulwark,noun,5,7
compromise,noun,20,10
editing,noun,5,7
clarification,noun,5,13
denomination,noun,8,12
reads,verb,16,5
scriptures,noun,11,10
testament,noun,29,9
inspired,verb,25,8
revelation,noun,14,10
authoritative,adjective,8,13
conduct,noun,55,7
lord,noun,93,4
jesus,noun,63,5
christ,noun,97,6
miracles,noun,8,8
super,noun,7,5
consecutive,adjective,10,11
forthcoming,adjective,11,11
breakthrough,noun,6,12
opening,verb,83,7
brandt,noun,10,6
missions,noun,16,8
stressed,verb,23,8
surveys,noun,12,7
contact,noun,63,7
loses,verb,15,5
talking,verb,100,7
babies,noun,12,6
born,verb,113,4
light,noun,333,5
illinois,noun,40,8
england,noun,154,7
vision,noun,56,6
accomplish,verb,24,10
necessitate,verb,5,11
meets,verb,35,5
ability,noun,74,7
capsule,noun,5,7
includes,verb,45,8
engaging,verb,8,8
mature,adjective,31,6
pioneer,verb,20,7
strategic,adjective,23,9
centers,noun,52,7
surrounding,verb,27,11
pastors,noun,6,7
volunteers,noun,29,10
laymen,noun,6,6
lending,verb,7,7
arranging,verb,16,9
graduates,noun,17,9
powell,noun,15,6
motions,noun,17,7
fraud,noun,8,5
dismissal,noun,7,9
striking,noun,39,8
verdict,noun,15,7
denying,verb,10,7
trials,noun,39,6
upheld,verb,6,6
defendant,noun,6,9
philip,noun,21,6
linking,verb,6,7
proof,noun,40,5
mails,noun,7,5
miami,noun,22,5
orioles,noun,11,7
distinction,noun,41,11
dropped,verb,101,7
straight,adjective,56,8
exhibition,noun,22,10
athletics,noun,9,9
indications,noun,16,11
birds,noun,57,5
hits,verb,22,4
homer,noun,16,5
frames,noun,26,6
fisher,noun,5,6
oriole,noun,5,6
pennant,noun,9,7
yielding,verb,9,8
dick,noun,18,4
entered,verb,97,7
contest,noun,26,7
existed,verb,40,7
deadlock,noun,10,8
solo,noun,7,4
runs,noun,55,4
eighth,adjective,23,6
ninth,adjective,20,5
fifth,adjective,37,5
throws,verb,6,6
stole,verb,10,5
catcher,noun,17,7
dirt,noun,43,4
heywood,noun,5,7
sullivan,noun,8,8
singled,verb,10,7
proved,verb,71,6
winning,verb,31,7
rookie,noun,9,6
southpaw,noun,5,8
relieved,verb,24,8
wild,adjective,54,4
pitch,noun,22,5
shortstop,noun,7,9
jerry,noun,15,5
glove,noun,9,5
performed,verb,35,9
plate,noun,22,5
fashion,noun,69,7
blows,noun,8,5
pitchers,noun,8,8
doubles,noun,6,7
brooks,noun,16,6
robinson,noun,38,8
pair,noun,50,4
breeding,noun,7,8
hartman,noun,5,7
bob,noun,40,3
ed,noun,13,2
mound,noun,11,5
chores,noun,16,6
palm,noun,22,4
stadium,noun,25,7
fourth,adjective,72,6
purchased,verb,20,9
milwaukee,noun,9,9
appearance,noun,57,10
merited,verb,5,7
triumph,noun,22,7
escaping,verb,5,8
double,noun,53,6
fence,noun,30,5
whitey,noun,6,6
strongest,adjective,20,9
balls,noun,17,5
pete,noun,23,4
failing,verb,17,7
popped,verb,6,6
grass,noun,53,5
short,adjective,198,5
batting,verb,15,7
pitches,noun,6,7
buddy,noun,13,5
barker,noun,8,6
bounced,verb,16,7
inning,noun,12,6
moved,verb,181,5
russ,noun,21,4
crossed,verb,42,7
flock,noun,10,5
hole,noun,58,4
gentile,noun,13,7
beat,verb,68,4
grabbed,verb,20,7
ball,noun,110,4
threw,verb,46,5
error,noun,36,5
slammed,verb,16,7
runners,noun,5,7
stretch,verb,26,7
blow,noun,33,4
triple,noun,5,6
andy,noun,33,4
scoring,noun,5,7
hit,noun,114,3
fast,adjective,32,4
break,verb,88,5
streak,noun,10,6
champion,noun,23,8
yankees,noun,28,7
flavor,noun,16,6
florida,noun,20,7
news,noun,102,4
late,adjective,132,4
hansen,noun,10,6
drove,verb,62,5
freshman,noun,8,8
squad,noun,18,5
players,noun,29,7
flew,verb,27,4
baltimore,noun,22,9
signed,verb,37,6
spectator,noun,9,9
pounds,noun,44,6
lighter,adjective,12,7
checked,verb,31,7
reporting,verb,17,9
weight,noun,91,6
breaks,verb,12,6
camp,noun,75,4
knox,noun,5,4
carrying,verb,71,8
improved,verb,55,8
albany,noun,11,6
surprise,noun,51,8
sensation,noun,14,9
defensive,adjective,17,9
engage,verb,14,6
workout,noun,6,7
skinny,noun,9,6
brown,noun,176,5
specialists,noun,19,11
champions,noun,10,9
sheldon,noun,8,7
posted,verb,11,6
farm,noun,124,4
walker,noun,17,6
art,noun,208,3
casey,noun,23,5
stengel,noun,6,7
yankee,noun,18,6
petersburg,noun,5,10
dimaggio,noun,6,8
crowds,noun,12,6
games,noun,54,5
famed,adjective,5,5
assisting,verb,7,9
coach,noun,24,5
pitcher,noun,21,7
completing,verb,13,10
hitch,noun,5,5
accelerated,verb,13,11
enlisted,verb,11,8
bulky,adjective,9,5
richards,noun,10,8
coaches,noun,5,7
workable,adjective,9,8
bird,noun,31,4
bat,noun,18,3
pretty,adjective,44,6
expired,verb,5,7
pitching,noun,16,8
arrived,verb,62,7
dunn,noun,6,4
flight,noun,46,6
delayed,verb,25,7
boarding,verb,5,8
ramp,noun,6,4
damage,noun,33,6
wing,noun,18,4
plane,noun,114,5
catching,verb,9,8
tokyo,noun,18,5
fresh,adjective,82,5
filly,noun,9,5
downed,verb,5,6
promising,adjective,24,9
colts,noun,8,5
purse,noun,14,5
seventh,adjective,31,7
stages,noun,51,6
jockey,noun,5,6
races,noun,21,5
substantial,adjective,66,11
lead,noun,129,4
tired,verb,48,5
nearing,verb,12,7
wire,noun,42,4
save,verb,62,4
glen,noun,7,4
bright,adjective,87,6
sun,noun,112,3
brisk,adjective,7,5
condition,noun,91,9
apprentice,noun,15,10
suspended,verb,30,9
crowding,verb,5,8
horses,noun,68,6
crossing,verb,21,8
gets,verb,66,4
mating,verb,8,6
self,noun,39,4
rosy,adjective,8,4
allowance,noun,16,9
claiming,verb,16,8
cleveland,noun,17,9
kerr,noun,5,4
knights,noun,8,7
columbus,noun,14,8
dave,noun,31,4
mills,noun,32,5
duel,noun,5,4
wiped,verb,19,5
king,noun,88,4
yards,noun,64,5
turn,noun,233,4
timed,verb,9,5
season,noun,105,6
thrill,noun,5,6
slender,adjective,19,7
woman,noun,224,5
broke,verb,72,5
grace,noun,40,5
butcher,noun,8,7
nearby,adjective,24,6
finished,verb,87,8
snapped,verb,19,7
helen,noun,13,5
ohio,noun,38,4
francisco,noun,41,9
bobby,noun,23,5
relief,noun,66,6
quarterback,noun,5,11
undergo,verb,8,7
knee,noun,35,4
franklin,noun,30,8
swelling,noun,11,8
consult,verb,11,7
physician,noun,15,9
tony,noun,11,4
donated,verb,7,7
chicago,noun,98,7
sox,noun,13,3
halfback,noun,10,8
plays,noun,66,5
moritz,noun,11,6
southwest,adjective,16,9
clock,noun,20,5
kick,noun,15,4
nose,noun,60,4
hip,noun,10,3
pads,noun,5,4
favored,verb,18,7
cotton,noun,38,6
bowl,noun,23,4
kicked,verb,18,6
tries,noun,13,5
string,noun,19,6
conversions,noun,6,11
slaughter,noun,10,9
bothered,verb,14,8
muscle,noun,42,6
thigh,noun,9,5
kicking,verb,12,7
leg,noun,58,3
playing,verb,101,7
injury,noun,27,6
missed,verb,40,6
statistical,adjective,16,11
net,noun,34,3
timing,verb,11,6
once,function,81,4
boys,noun,143,4
seem,verb,229,4
practice,noun,94,8
helps,verb,31,5
golf,noun,34,4
swing,verb,24,5
longhorns,noun,5,9
scored,verb,15,6
completions,noun,7,11
attempts,noun,38,8
rushing,verb,10,7
brilliant,adjective,50,9
sophomore,noun,5,9
gained,verb,39,6
touchdown,noun,6,9
insists,verb,10,7
prevailed,verb,7,9
smu,noun,5,3
coaching,verb,6,8
rice,noun,33,4
happy,adjective,98,5
meek,noun,10,4
academy,noun,24,7
kids,noun,32,4
stayed,verb,75,6
particular,adjective,179,10
performances,noun,33,12
nelson,noun,16,6
billy,noun,26,5
magnificent,adjective,27,11
interference,noun,45,12
stops,noun,8,5
nick,noun,25,4
loose,adjective,45,5
contributed,verb,39,11
aerial,adjective,8,6
thrusts,noun,5,7
screen,noun,48,6
incomplete,adjective,13,10
spotted,verb,16,7
nailed,verb,11,6
yard,noun,35,4
lay,verb,139,3
waited,verb,70,6
mike,noun,91,4
kelsey,noun,6,6
doubtful,adjective,22,8
blind,adjective,47,5
opener,noun,6,6
maryland,noun,23,8
lot,noun,126,3
film,noun,96,4
reserves,noun,5,8
drill,noun,33,5
tackle,noun,10,6
undergoing,verb,12,10
treatment,noun,127,9
m,noun,16,1
rain,noun,70,4
mud,noun,32,3
gene,noun,9,4
ankle,noun,8,5
shaken,verb,11,6
tech,noun,8,4
trinity,noun,5,7
bud,noun,9,3
denver,noun,16,6
buffalo,noun,16,7
hank,noun,17,4
ramsey,noun,10,6
collectors,noun,7,10
productive,adjective,25,10
louisiana,noun,30,9
upset,noun,14,5
defending,verb,13,9
luck,noun,47,4
exclaimed,verb,14,9
splendid,adjective,20,8
whip,verb,19,4
dangerous,adjective,46,9
star,noun,25,4
interior,adjective,74,8
movies,noun,31,6
throwing,verb,17,8
passes,noun,27,6
bang,function,7,4
strikes,noun,20,7
controlling,verb,23,11
giving,verb,96,6
delivered,verb,37,9
comforting,verb,8,10
speedy,adjective,6,6
claimed,verb,35,7
resulted,verb,37,8
book,noun,197,4
statistics,noun,22,10
tough,adjective,36,5
bulge,noun,5,5
loop,noun,21,4
leads,verb,33,5
averages,noun,10,8
idle,adjective,13,4
unofficial,adjective,5,10
checks,noun,17,6
leagues,noun,8,7
ordered,verb,69,7
tests,noun,61,5
pinpoint,noun,5,8
bears,noun,26,5
indianapolis,noun,6,12
command,noun,72,7
countless,adjective,14,9
louisville,noun,6,10
pack,noun,25,4
walked,verb,159,6
charley,noun,8,7
unusual,adjective,63,7
characteristic,noun,68,14
cracked,verb,17,7
don,noun,23,3
jay,noun,15,3
porter,noun,17,6
bases,noun,23,5
phil,noun,65,4
indians,noun,32,7
bunched,verb,5,7
chuck,noun,14,5
cliff,noun,11,5
dan,noun,27,3
infield,noun,7,7
accounted,verb,5,9
clicked,verb,8,7
spectacular,adjective,22,11
showed,verb,141,6
arm,noun,94,3
obvious,adjective,92,7
lights,noun,47,6
flooded,verb,9,7
dark,adjective,185,4
organ,noun,12,5
exotic,adjective,7,6
dancer,noun,31,6
lane,noun,30,4
lightweight,noun,5,11
rip,noun,6,3
diving,verb,5,6
lemon,noun,18,5
minnesota,noun,13,9
twins,noun,12,5
fans,noun,21,4
turk,noun,5,4
tagged,verb,6,6
ray,noun,19,3
moore,noun,24,5
reno,noun,7,4
pop,noun,7,3
fly,noun,33,3
roy,noun,37,3
sacrifice,noun,30,9
bottom,noun,88,6
walking,verb,54,7
solid,adjective,77,5
utah,noun,6,4
baseball,noun,57,8
reflexes,noun,6,8
sudden,adjective,38,6
train,noun,82,5
anybody,noun,42,7
trip,noun,81,4
olympic,adjective,7,7
ann,noun,29,3
awaited,verb,7,7
heading,verb,31,7
chances,noun,24,7
pacific,noun,31,7
sports,noun,49,6
writer,noun,73,6
standard,adjective,110,8
examiner,noun,14,8
compartment,noun,11,11
conductor,noun,25,9
mad,adjective,39,3
magazine,noun,39,8
cold,adjective,169,4
warmed,verb,10,6
liston,noun,6,6
anything,noun,280,8
traveler,noun,8,8
quoted,verb,26,6
grip,noun,20,4
masses,noun,21,6
pops,verb,12,4
spahn,noun,5,5
masterpiece,noun,10,11
giants,noun,21,6
willie,noun,11,6
mays,noun,13,4
remarkable,adjective,47,10
cherished,verb,16,9
achievements,noun,19,12
elderly,adjective,13,7
hearts,noun,23,6
guys,noun,20,4
sighed,verb,22,6
waved,verb,16,5
belonging,verb,13,9
carl,noun,41,4
herb,noun,8,4
vernon,noun,21,6
player,noun,51,6
meaningless,adjective,15,11
guy,noun,51,3
clubhouse,noun,5,9
reaches,verb,25,7
span,noun,19,4
hodges,noun,14,6
trick,noun,15,5
lou,noun,13,3
gehrig,noun,5,6
pat,noun,35,3
rocky,noun,10,5
revived,verb,6,7
argument,noun,63,8
merits,noun,14,6
mickey,noun,29,6
mantle,noun,48,6
fan,noun,18,3
ace,noun,15,3
seasons,noun,17,7
lifetime,noun,10,8
mystery,noun,39,7
hitting,verb,17,7
distressing,adjective,7,11
slump,noun,8,5
tv,noun,39,2
privileged,adjective,10,10
arrangement,noun,34,11
blackout,noun,5,8
rulers,noun,9,6
helpless,adjective,21,8
network,noun,30,7
abide,verb,7,5
nbc,noun,6,3
afternoons,noun,13,10
arise,verb,28,5
irritable,adjective,5,9
harm,noun,25,4
dissatisfaction,noun,9,15
cincinnati,noun,9,10
powerful,adjective,63,8
crushing,verb,7,8
barrage,noun,5,7
finale,noun,6,6
injuries,noun,11,8
mounted,verb,45,7
johnny,noun,30,6
replacement,noun,21,11
smashed,verb,15,7
applaud,verb,5,7
bleachers,noun,5,9
trailing,verb,7,8
wally,noun,25,5
slashed,verb,10,7
eddie,noun,30,5
cardinals,noun,8,9
accomplished,verb,44,12
feat,noun,6,4
skorich,noun,10,7
eagles,noun,6,6
buck,noun,20,4
shaw,noun,9,4
retain,verb,11,6
charlie,noun,48,7
ends,noun,67,4
selection,noun,39,9
logical,adjective,34,7
van,noun,32,3
permission,noun,27,10
newest,adjective,15,6
entry,noun,26,5
refused,verb,60,7
depended,verb,9,8
advocate,noun,15,8
balanced,verb,22,8
sutherland,noun,6,10
pittsburgh,noun,25,10
quit,verb,15,4
catholic,adjective,84,8
ceremony,noun,18,8
richardson,noun,12,10
championship,noun,8,12
silver,noun,29,6
shaped,verb,17,6
award,noun,46,5
shea,noun,10,4
awards,noun,17,6
chapter,noun,73,7
graham,noun,15,6
columnist,noun,5,9
pirates,noun,12,7
ben,noun,21,3
babe,noun,8,4
ruth,noun,23,4
outstanding,adjective,37,11
mercer,noun,71,6
follows,verb,77,7
writers,noun,73,7
personalities,noun,15,13
dance,noun,90,5
song,noun,70,4
prominent,adjective,40,9
background,noun,67,10
bernard,noun,9,7
departure,noun,17,9
dodgers,noun,5,7
california,noun,65,10
barriers,noun,17,8
branch,noun,33,6
formation,noun,37,9
franchise,noun,5,9
meadow,noun,17,6
lease,noun,10,5
ford,noun,24,4
sands,noun,10,5
patricia,noun,7,8
switching,verb,7,9
owned,verb,34,5
ted,noun,7,3
roger,noun,15,5
maris,noun,36,5
winner,noun,8,6
arnold,noun,20,6
palmer,noun,56,6
metropolitan,adjective,34,12
cup,noun,45,3
matches,noun,13,7
amateur,noun,25,7
gold,adjective,52,4
tee,noun,5,3
sponsorship,noun,5,11
charity,noun,8,7
tournaments,noun,5,11
hogan,noun,11,5
trophy,noun,8,6
stuart,noun,16,6
missouri,noun,21,8
golden,adjective,42,6
blazing,verb,6,7
masters,noun,24,7
prize,noun,28,5
sportsman,noun,5,9
illustrated,verb,37,11
athlete,noun,9,7
belt,noun,29,4
achieved,verb,62,8
monstrous,adjective,13,9
human,noun,299,5
brooding,verb,15,8
abandonment,noun,10,11
sport,noun,17,5
despair,noun,21,7
perfection,noun,11,10
commit,verb,16,6
nor,function,195,3
motivated,verb,9,9
respects,verb,22,8
shooting,verb,48,8
below,function,80,5
par,noun,9,3
delivering,verb,9,10
margin,noun,10,6
narrow,adjective,63,6
fairway,noun,5,7
majestic,adjective,10,8
arc,noun,40,3
slice,noun,13,5
bounds,noun,10,6
shots,noun,29,5
strokes,noun,12,7
wound,verb,28,5
dozen,noun,52,5
nice,adjective,75,4
fell,verb,92,4
evil,adjective,72,4
idol,noun,7,4
secondary,adjective,31,9
drank,verb,19,5
lunch,noun,33,5
gully,noun,5,5
ye,function,11,2
echoes,noun,8,6
knows,verb,99,5
code,noun,39,4
handy,adjective,13,5
flowed,verb,6,6
floated,verb,7,7
picked,verb,78,6
potato,noun,15,6
lie,noun,59,3
alongside,function,10,9
spot,noun,57,4
confessed,verb,7,9
grin,noun,13,4
happened,verb,149,8
intensity,noun,56,9
inherent,adjective,26,8
humor,noun,47,5
strain,noun,31,6
nerves,noun,22,6
strings,noun,16,7
competitors,noun,10,11
bull,noun,14,4
twelfth,adjective,5,7
guarding,verb,9,8
soft,adjective,59,4
rains,noun,5,5
bringing,verb,38,8
lies,verb,44,4
provisional,adjective,7,11
fathers,noun,19,7
stroke,noun,19,6
tournament,noun,20,10
creature,noun,15,8
supply,verb,102,6
minneapolis,noun,9,11
warwick,noun,21,7
hall,noun,152,4
fame,noun,18,4
amendments,noun,7,10
teams,noun,22,5
dates,noun,30,5
heed,verb,8,4
slower,adjective,7,6
vinegar,noun,9,7
bend,noun,24,4
breaking,verb,25,8
hemus,noun,5,5
switch,noun,43,6
gibson,noun,8,6
ernie,noun,18,5
collapse,noun,7,8
eager,adjective,27,5
assignment,noun,62,10
larry,noun,9,5
harvey,noun,18,6
flu,noun,8,3
cardinal,noun,15,8
suffering,verb,44,9
stiff,adjective,21,5
neck,noun,81,4
danny,noun,6,5
lengthy,adjective,11,7
anniversary,noun,21,11
sore,adjective,10,4
bucks,noun,6,5
bats,noun,6,4
recession,noun,7,9
imposing,verb,7,8
smoky,noun,5,5
hal,noun,28,3
dragging,verb,15,8
sit,verb,66,3
friend,noun,133,6
beaten,verb,15,6
jumped,verb,35,6
well,adjective,174,4
even,adjective,53,4
ending,verb,31,6
finishing,verb,9,9
cards,noun,36,5
tumbled,verb,13,7
runaway,noun,6,7
worst,adjective,34,5
comparable,adjective,41,10
dealt,verb,22,5
words,noun,274,5
benington,noun,7,9
hartweger,noun,5,9
conversation,noun,50,12
respect,noun,125,7
supposed,verb,65,8
trio,noun,9,4
shared,verb,40,6
honors,noun,15,6
editor,noun,77,6
clutch,noun,5,6
excellent,adjective,68,9
recalled,verb,26,8
doubted,verb,9,7
faults,noun,7,6
admired,verb,17,7
husband,noun,131,7
thank,verb,36,5
letting,verb,31,7
shape,noun,85,5
healed,verb,6,6
inscription,noun,6,11
contribution,noun,37,12
compiled,verb,10,8
invitation,noun,20,10
notre,noun,6,5
dame,noun,7,4
overcome,verb,26,8
pitched,verb,8,7
crystal,noun,23,7
tie,noun,23,3
trips,noun,29,5
busy,adjective,58,4
contented,verb,8,9
cows,noun,16,4
milk,noun,49,4
